,location,company_name,job_title,summary
0,London,Capital Index,Junior KYC and On-boarding Analyst,"Be available to support regular seminars offered by Partner companies and assist with account opening queries via chat, telephone and email."
1,London,Cognithan Limited,Accounts Assistant,"Respond to and resolve all accounting and payroll queries and enquiries.
Work with the Accountant to prepare unit budgets, monitor and report on units financial…"
2,London SE1 2QH,Lewisham Council,Finance and Admin Officer,"Job type: full-time 35 hours.
To provide Finance Support through raising Purchase Orders, process invoices/ bills, setting up new suppliers and handle related…"
3,London,"UK Government - Department for Business, Energy &...",International Climate Finance Communications and Engagement Officer,This will entail effectively responding to briefing requests and providing strategic communications contributions in support of ICF policy development and…
4,London E14 5JP,Raynet Recruitment Ltd,Finance Officer,"Contribute to the implementation of the fairer contributions policy,the assessment and collection of client contribtions and the reduction of debt."
5,London,Nucleus Central,Assistant Finance Project Analyst,"Working within the Finance department, you will be responsible for supporting the Finance Project Analyst team to ensure that the company is achieving project…"
6,London,JP Morgan Chase,CIB – Investment Banking – Acquisition & Leveraged Finance – Analyst - London,"Our professionals take the long view of each client’s needs and assess the best ways for them to execute their strategy.
Building and using financial models."
7,London,Leyton UK Limited,Finance Administrator,"The ultimate aim of this role is to support our Finance team in client satisfaction and managing client payments.
Achieving targets set for cash collection."
8,London,BNP Paribas,London - Graduate Analyst Programme 2020 - Trading,"The Group helps them realise their personal and professional projects through solutions spanning financing, investment, savings and insurance."
9,London,Munich Re Speciality Group Ltd,Accounts Payable Clerk,"The role will suit an partly-qualified accountant who is looking to work in an ethical and driven work environment.
Prepare, process and record payment runs,."
10,Holborn,Tempo,Accounts Assistant,"Your role will include taking ownership of bank reconciliations, managing the upload of invoices into Xero, managing external vendors by providing remittances…"
11,London,The British Museum,Finance Officer: Payables (mat cover),"We are looking for candidates who are part qualified and working towards, or have obtained, an accounting qualification (e.g. ACCA/ACA/CIMA) with a high level…"
12,London,Sainsburys,Finance Manager (Capital),"A key member of the wider Retail FP&A team with primary responsibility for the monitoring, control, planning, budgeting, forecasting and reporting of capital…"
13,London,Post Office Ltd,Junior OE Analyst x 2,"Contract Type: Fixed Term Contract - 3 Months.
The analyst will work side by side with two additional established OE Analysts and liaise directly with managers…"
14,London,BNP Paribas,London - Graduate Analyst Programme 2020 - Trading,"The Group helps them realise their personal and professional projects through solutions spanning financing, investment, savings and insurance."
15,London RM8,EMS Events,Financial Controller,"Love numbers, to see patterns and review data for statistical analysis, spot trends, losses, gains and spending patterns.
Job Types: Full-time, Permanent."
16,London,Bank of England,"Team Member - Banking, Payments & Innovation Directorate","The variety and immediacy of the work we do means we are one of the most outward facing and fast moving areas of the Bank, operating the UK's high value…"
