,location,company_name,job_title,summary,full_info
0,London,Lewisham Council,Finance and Admin Officer,"Job type: full-time 35 hours.
To provide Finance Support through raising Purchase Orders, process invoices/ bills, setting up new suppliers and handle related…","Job Ref: RES-20-003
Job type: full-time 35 hours
Closing date: Sunday 10 May 2020
Contract Type: Permanent
Salary: £24,054 - £24,927 pa (Scale 4)

The role

To provide Finance Support through raising Purchase Orders, process invoices/ bills, setting up new suppliers and handle related enquiries and administration.

Be responsible for authenticating invoices and payments in accordance with the Council’s financial procedures and regulations.

Order and issue stationery, supplies and other equipment (including service-specific items) when requested, following standard approval processes and ensure the safe and secure storage of items.

Receipt deliveries and check goods received against purchase order forms.

To provide an effective and efficient administration support service as part of the Customer Service Centre.

Location

Laurence House, Catford

What we’re looking for

We are looking for a person who has the ability to work accurately and quickly to meet deadlines, with good communication skills and is eager to contribute to the team.

In return, we’ll offer excellent development opportunities, plus a range of benefits that includes a career average pension scheme, flexible working and the opportunity to make a real difference to our local community.

Salary details

£24,054 - £24,927 pa (Scale 4)

Further information

For an informal discussion, please contact John Organ on 0208 314 6819

Lewisham Borough Council is committed to safeguarding and promoting the welfare of children, young people and vulnerable adults and expects all staff and volunteers to share in this commitment.

We value diversity and welcome applications from all backgrounds.

For a full job description and person specification, and for further information about the recruitment process, please click on the links below.

To apply please click on 'apply for job' at the top of the page.

Closing date

Sunday 10 May 2020 at 11:59pm.

Interview Date: week commencing Monday 18th May 2020

The Council reserves the right to close adverts early if there is a large response."
1,London,"UK Government - Department for Business, Energy &...",International Climate Finance Communications and Engagement Officer,This will entail effectively responding to briefing requests and providing strategic communications contributions in support of ICF policy development and…,"Communications is an increasingly significant part of the team’s remit underpinning our strategic objectives at a time of strong public momentum to tackle climate change. Communications Officer will be supporting the team to implement ICF Communications Plan, leading on a number of deliverables and helping to build confidence in the value and integrity of ICF programming. It’s more important than ever before to increase awareness and understanding of what we do and why we do it – both internally and externally in order to maximise support for international climate action, particularly in the run up to COP26 and beyond.


The successful candidate will work on a range of proactive and reactive tasks alongside programme and policy colleagues from across ICF, the wider BEIS International Climate and Energy Directorate, COP26 Unit and other government departments. This will entail effectively responding to briefing requests and providing strategic communications contributions in support of ICF policy development and relevant ministerial activity.


The role will crucially involve close collaboration with the BEIS Communications Directorate and FCO communications teams around the world, leading and managing relationships with our international stakeholders and delivering high quality communications outputs to engage with our key audiences. As part of this, you will be expected to think monitor and evaluate ICF communications outputs and outcomes and produce reporting to help us improve and demonstrate positive results.


You will be also responsible for managing ICF’s relationship with other international donors to the Multilateral Development Funds (such as the Green Climate Fund and Climate Investment Funds), ensuring coordination and coherence as we work collectively to mobilise $100 billion in climate finance by 2025. To perform this role effectively you will therefore need to form strong relationships with programme teams, policy and communications colleagues in order to ensure our narratives are precise, up-to-date and reaching the right audiences.


As priorities can change quickly in this dynamic team, you will need to be able to make quick informed judgements and demonstrate strong prioritization skills to deliver effectively and to tight deadlines, while keeping the relevant parties updated.

Responsibilities
You will be a results-driven team player with excellent interpersonal skills and the confidence to work autonomously and interact and build relationships with a variety of individuals, including senior stakeholders, across a variety of professional and cultural backgrounds. You will be able to utilise this knowledge and your creativity to tailor communications to maximise impact and understanding. You will bring experience of working on a wide range of complex policy or communication projects.


The successful candidate will be expected to demonstrate:


Experience of working in a fast-paced environment and managing multiple competing priorities to short deadlines.


Excellent written and oral communications skills, using a variety of channels and adapting communications method and tone to suit a variety of audiences and purposes.


An understanding of modern communication methods, digital communication and social media.

Proven ability to apply insight and evaluation findings when planning effective communications.


Track record of developing and managing successful stakeholder relationships to deliver strategic results for an organisation.


An awareness of and interest in climate change, environmental and international issues.


Strong judgement, political awareness and diplomacy skills – able to work on complex, often sensitive issues and deliver messages with clarity and persuasiveness.


About the team


The International Climate and Energy (ICE) Directorate in BEIS leads on a variety of issues that enable the UK to achieve its climate change and energy objectives through bilateral engagement, the UN and other international fora. The directorate leads HMG policy for the UN Climate Summits, which delivered the historic Paris Agreement in 2015.


As part of ICE, ICF is a multidisciplinary team of over 100 people that provides Overseas Development Assistance (ODA) to developing countries to support them to mitigate and adapt to climate change. The UK has committed to spending at least £5.8bn of ICF between 2016 – 2020 which will double to £11.6bn between 2021 – 2025. This is delivered cross-Whitehall via three departments (DfID, BEIS and Defra) who share a common objective but have a different focus. BEIS is currently responsible for a growing portfolio of international mitigation projects that focus on low carbon energy, preventing deforestation, decarbonising cities, buildings and wider infrastructure.


BEIS ICF has grown significantly over the last 18 months and will continue to expand as we work towards COP26 and delivering the uplift in funding, providing significant development opportunities for new joiners. You will find that colleagues bring great passion and commitment to their work and a team that provides a supportive, inclusive environment for everyone. We support flexible working and actively seek to bring together a wide range of skills, backgrounds and experience, as we believe that our diversity makes us stronger.


ICE has a Diversity & Inclusion Group - if you would like to talk to someone in this group about what it's like to work in the Directorate, please get in touch via ice.diversity@beis.gov.uk and we can put you in touch.


For more information about the role, please contact monika.samoraj@beis.gov.uk
Behaviours
We'll assess you against these behaviours during the selection process:
Communicating and Influencing
Delivering at Pace
Seeing the Big Picture
Making Effective Decisions

We only ask for evidence of these behaviours on your application form:
Communicating and Influencing
Delivering at Pace
Seeing the Big Picture
Benefits
Benefits
BEIS offers a competitive mix of benefits including:


A culture of flexible working, such as job sharing, homeworking and compressed hours.


Automatic enrolment into the Civil Service Pension Scheme.


A minimum of 25 days of paid annual leave, increasing by 1 day per year up to a maximum of 30.


An extensive range of learning & professional development opportunities, which all staff are actively encouraged to pursue.


Access to a range of retail, travel and lifestyle employee discounts."
2,London,Nucleus Central,Assistant Finance Project Analyst,"Working within the Finance department, you will be responsible for supporting the Finance Project Analyst team to ensure that the company is achieving project…","Nucleus Global is comprised of the medical communications agencies MediTech Media ™, Health Interactions, Articulate Science, Clinical Thinking, Scientific Pathways, Medical Expressions and SciMentum, in addition to International Medical Press, a provider of independent and continuing medical education programmes.

A fantastic opportunity has arisen for an Assistant Finance Project Analyst to join our Finance team in London.

Working within the Finance department, you will be responsible for supporting the Finance Project Analyst team to ensure that the company is achieving project profitability and billability through the provision of financial information and the financial management of client projects. You will be responsible for assisting with managing and tracking the financials of confirmed and potential business to pass onto client teams for management accounting and forecasting purposes. Key responsibilities will include carrying out client invoicing, assisting with project reconciliations, ensuring the accounting system is updated and maintained with project budget uploads, and releasing and checking new projects. In addition, you will assist with updating the Confirmed and Potential revenue reports and month-end duties.

The successful candidate would have the following:

Degree in accounting or finance
Some experience in an accounting role ideally within project accounting
General knowledge of an accounting software
Good IT skills specifically in Excel
Strong attention to detail combined with excellent communication skills are essential for this role

In addition to a competitive salary and benefits package we are happy to talk flexible working, Nucleus are known for our friendly and informal working environment with Friday socials across all our offices, regular wellbeing weeks, and Town Hall events. We also offer excellent opportunities for career and personal development, including opportunities to transfer your skills to our other offices around the world.

Nucleus Global is not accepting unsolicited résumés from search firms for this employment opportunity. Regardless of past practice, all résumés submitted by search firms to any employee of Nucleus Global and its affiliated companies via email, the Internet or in any form — without a current signed fee agreement for that position (as authorised by the Recruitment Manager) — will be deemed the sole property of Nucleus Global, and no fee will be paid in the event the candidate is hired as a result of the referral or through other means."
3,London,BNP Paribas,London - Graduate Analyst Programme 2020 - Trading,"The Group helps them realise their personal and professional projects through solutions spanning financing, investment, savings and insurance.","WHO WE ARE
The bank for a changing world. BNP Paribas has been recognized as the 2019 World’s Best Bank for Corporate Responsibility by Euromoney magazine. This reflects our commitment to financing the economy in an ethical manner, developing and engaging our people, being an agent for positive impact on society and for combating climate change. BNP Paribas contributes to the real economy by providing solutions to a wide range of clients: individuals, community associations, entrepreneurs, SMEs, corporate clients and institutional investors. The Group helps them realise their personal and professional projects through solutions spanning financing, investment, savings and insurance.
BNPP has a significant presence in the UK with a 150-year history. Whilst recognised as a leading European bank, BNP Paribas in fact operates in 73 worldwide countries with around 200,000 employees. With such a diverse set of banking coverage (ranging from asset management insurance, retail banking, personal finance, vehicle leasing to investment banking) the career opportunities within BNPP are vast, international and attract a diverse staff base.


THE ROLE
The Trading Graduate Programme is a 12 month rotational programme where you will conduct 3 x 4 month rotations. In addition to experiencing a range of trading desks across different asset classes, you could also have the opportunity to conduct one rotation in a different specialism including; sales, structuring, research, primary, or generalist. This will give you an immense opportunity to learn more about a variety of products, clients and markets over the course of the programme.

KEY RESPONSIBILITIESTrade execution and short-term risk management
Aid trading activities by analysing opportunities, producing research and market analysis
Trading report development, and evaluation of trading strategies and their appropriateness for our customersMarket commentary and analysis for internal and external distribution
Development of modelling tools for markets analysis
CANDIDATE PROFILEAnalytical, logical and innovative thinker
Strong drive to exceed expectations and take initiative
Meticulous accuracy with a keen eye for detail
Confident verbal communication skills
Proactive and enthusiastic self-starter
Team player
Excellent spoken and written English
Additional languages are an advantage
TECHNICAL SKILLS, COMPETENCIES AND QUALIFICATIONS REQUIRED FOR THE ROLEExcellent academic background, minimum 2:1 or equivalent in Bachelor’s degree
Keen interest and basic understanding in Capital Markets
Proficient with MS Office tools, VBA and other coding languages are an advantageStrong mathematical, analytical & quantitative skills
Strong organisational and time management skillsStrong interpersonal skills and a sense of professionalismPrevious internship or work experienceMotivated and driven to develop a career in Global MarketsPro-activeness
CONDUCTBe a role model, supporting and fostering a culture of good conductDemonstrate proactivity, transparency, and accountability for identifying and managing conduct risksConsider the implications of your actions on colleagues
LOCATION: London
SALARY: Competitive
OPENING DATE: 23rd April 2020
CLOSING DATE: 30th May 2020"
4,London,Harrington-Leigh,Trainee Mortgage & Protection Advisor - REMOTE WORKING,We are looking to take on Individuals with no previous experience in financial services and help train them become qualified advisers in protection (life…,"Trainee Mortgage & Protection Advisor Main tasks and duties: · As a Mortgage, Protection and Estate Planning advisor you will be client facing· Dealing with new Mortgages and Remortgages, Personal Protection and Estate ProtectionWhat’s in it for you?· Realistic income £50-100k + OTE (uncapped commission)· Part Time or Full Time· Work From HomeWe are looking to take on Individuals with no previous experience in financial services and help train them become qualified advisers in protection (life insurance etc) and estate protection (wills and trusts). Growth opportunities are available to further develop your career into mortgage advising.We are unique in that we not only provide support to help you achieve the Nationally Recognised Qualification in the Industry we train you in THE ROLE OF THE ADVISOR.This is in our opinion is more important as this teaches you what an advisor does on a day to day basis.We offer an initial training apprenticeship role which enables you to 'earn while you learn'. This gains you the experience in the industry as well as earning money while you are going through the training.You can still continue with your current role while doing the training and start full time only when you are confident and happy to do so , taking away any initial pressure.At the end of the training period, during which time you will have been earning while training rather than sat in a classroom, we can look at either self-employed or employed packages to suit.You will be in total control of your income as an advisor, you will need to be organised and able to run your own diary, helping our clients by providing a professional service.Benefits:Work from home opportunitiesBonus schemeFlexible working hoursJob Types: Full-time, Part-time, Permanent, ApprenticeshipSalary: £50,000.00 to £100,000.00 /year"
5,London,Leyton UK Limited,Finance Administrator,"The ultimate aim of this role is to support our Finance team in client satisfaction and managing client payments.
Achieving targets set for cash collection.","Do you want to join a dynamic, friendly, global innovation funding consultancy?
About the role:
The ultimate aim of this role is to support our Finance team in client satisfaction and managing client payments. This is a cash collection role but tasks are incredibly varied. We’re looking for someone who is incredibly organised, pro-active, has excellent communication skills and is looking to develop their career within a global management consultancy.
Main Responsibilities will include:

Supporting in collecting payments due from clients
Ensuring existing clients are supported fully and reporting up any feedback that requires further action
Achieving targets set for cash collection
Reducing aged debt
Responding to correspondence in a timely manner
Monitoring and managing repayment from our clients
Identify and record new disputes and resolve dispute
Maintain relationships with existing clients
Review accounts to determine appropriate action
Adhoc admin duties to assist finance team

Desired experience and skills:

Ideally 1 years’ experience in a customer service position- not essential
Excellent verbal and written communication skills; you must be confident and articulate, particularly on the telephone
Experience with senior stakeholders would be useful- not essential
MS office and Excel experience required

Benefits:

Bring your dog to work policy
Annual charity days
Private Healthcare and Dental
Access to Perkbox
Flexible working
Season ticket loan
Cycle to work scheme
And many others

About Leyton UK:
Founded in 1997, Leyton is a global innovation funding consultancy dedicated to helping our clients improve their business performance. In the UK, our specific expertise is in innovation funding, energy consultancy and capital advisory.
As a business, we want to help unleash our clients potential and be a strategic partner in their evolution and growth. We help find openings in processes and ways of working that others can’t see, then unlock these opportunities to create value efficiently.

We are proud to have 1,500 employees in 27 offices across 12 countries in Europe, North Africa and North America.
Leyton offer a competitive remuneration and benefits package and offer unparalleled opportunities for rapid professional development. We are committed to helping our employees unlock their talent and support this through providing the access and tools to full training programmes and membership to professional bodies and subscriptions.
With Leyton you have access to Leyton Group benefits, Private Health and Dental cover, a highly Competitive Pension Scheme and flexible working. On top of this we also offer savings through a wide range of financial benefits in the form of discounts, subsidies and incentives.
Leyton is committed to becoming an inclusive employer and proactive in improving diversity and equality across the Leyton Group without discrimination or harassment on the basis of race, colour, creed, religion, national origin, alienage or citizenship status, age, sex, sexual orientation, gender identity or expression, marital or domestic/civil partnership status, disability, veteran status, genetic information, or any other basis protected by law.
Thank you for reviewing this vacancy. Should you apply for this role, your personal data will be processed in accordance with our privacy notice. See the link below.
https://www.leyton.com/en/unit...
If you have any questions, please contact DPM@leyton.com"
6,London SE1,Social Finance Limited,Analyst,"The Social Finance Analyst Programme is open to all applicants who have a university degree or equivalent professional experience, working in research, analysis…","The Social Finance Analyst Programme The Social Finance Analyst Programme is open to all applicants who have a university degree or equivalent professional experience, working in research, analysis, field-work, operations or finance, whether in the public, private or charity sector, as an employee or an apprentice.Social Finance is an entrepreneurial, forward-thinking company looking for the next generation of social innovators to start their journey on our Analyst Programme. The Programme is ca. three years in duration and consists of a minimum of 2-3 rotations across business lines. Training, both on the job and in group settings, coaching and mentorship opportunities are used to equip you with the skills and experience required to build your career.We are looking for individuals who are:· Passionate about making a difference· Intellectually curious· Innovative thinkers, willing to challenge the status quo· Self-motivated, adaptable and confident to work independently· Team players who can build good working relationships with a variety of internal and external partnersWe work at the intersection of public services, user data, digital tools, and philanthropic and private investment, and ask questions like:· Where should governments, donors and philanthropy focus their efforts to improve society?· How do you design public services that can respond to changing user needs and stay focused on meaningful outcomes?· How can data and digital tools be used to support better decision-making?· How do you align financial success with social impact?· And, how do you avoid introducing ethical, social, or cultural bias into solutions and services?You will need to show potential and interest in the following areas, which will be developed over the course of the programme. You are not expected to arrive with a full skillset, as you will be supported to learn:· Data & analytical skills – you have an aptitude for numerical information and analysis, including the ability to collect, gather and analyse information. You show attention to detail and can quality control your own work to produce accurate and reliable outputs in PowerPoint, Excel and Word. During the programme, you will learn how to create the financial and operational models that support our work, drawing from comparable models in the business, social and development sectors.· Problem solving – you are able to look at a problem creatively and suggest alternative, viable solutions.· Project management – you can document and organise your work, are able to prioritise and plan your own work streams, communicate project progress effectively, and invest your time appropriately to create high-quality products and meet deadlines reliably.· Communication & relationship building – you have excellent writing, listening and inter-personal skills, can summarise and share information effectively, and are able to develop insightful presentations of findings and conclusions. During the programme, you will learn how to establish, support and build strong relationships within and outside Social Finance.· Team work – you work well in teams and independently, are receptive to feedback and use it to continually improve.· User Research & Design Thinking – you can design, coordinate and implement research plans to understand service users and their needs. You can synthesise research data to build clear pictures of potential service users to feed into project/product design.About your work hereAs an Analyst, you will work on various types of projects, supported by a more senior member of staff. Social Finance aims to create social change in partnership with like-minded organisations, and we use various avenues to do this:· Systems thinking and design – developing innovative and long-lasting ways of solving social issues, ranging from new funding models, to policy approaches, to service re-design solutions. For example, we have brought together several front-line charities to design a new programme of behaviour change to reduce domestic violence that is being scaled with support from the Home Office.· Data analysis and research – from carrying out detailed data analysis to understand complex social issues, to conducting market research to advise investors on how they can generate a social and financial return, to helping government use their data effectively to make better decisions. For example, we draw together multiple data sets to identify which groups of young people are most at risk of poor long-term outcomes, such as unemployment, and use our conclusions to influence policy.· Advisory work – assisting social sector and development organisations, and governments worldwide, to create new approaches to services and innovative funding mechanisms to underpin them. For example, we work with Local Authorities to design contracts based on the achievement of social outcomes to prevent young people going into care.· Market building – from developing national strategies to create and develop SIB markets, to designing knowledge platforms that support the sharing of learning, to building the capacity of other players in the market to help replicate our work. For example, we work with governments and donors all over the globe to help create outcome-focused funds to improve the quality of primary and secondary education.· Operational support -Individual Placement and Support (IPS) supports people with serious health difficulties to find and keep a job in an area that they are passionate about. We are working with NHS England to expand the number of people who have access to high quality IPS. We provide hands-on operational support to services, create and deliver free training and develop tools to help providers monitor their own performance.· Fund management – from supporting the development of an investment pipeline and carrying out due diligence on potential investments,to monitoring the performance of existing investments and supporting investees achieve their targets. For example, we manage a social investment fund in the health & care space which invests in social enterprises and projects with the aim of improving community health and wellbeing.· Partnership building and relationship management- from working with frontline delivery partners, to coordinating with a range of local authority partners, to bringing together diverse sets of funders and investors. For example, through a collective impact model, the Black Thrive initiative is bringing together the council, health commissioners, charities and community groups in Lambeth to tackle high rates of mental illness amongst the local black community.To view the full job description, and for all relevant forms for submitting an application, please visit our website: https://www.socialfinance.org.uk/social-finance-analyst-programmeApplicationTo apply for the Social Finance Analyst Programme please complete our application form and submit with your CV.Candidates who do not complete the application form will not be considered for this role.We would be very grateful if you would also complete our Diversity Monitoring Form and return with your application.Shortlisted candidates will have a first-round interview, which will take place over the phone. Successful candidates will be invited to an assessment, where they will complete a case study exercise and interviews with several team members. Candidates who are successful at assessment will then have a final stage interview, generally with HR. Applicants should expect to be tested on:· Critical thinking, problem solving and numerical abilities· Presentation and communication skills· Knowledge of Social Finance and the social investment sectorShould you require any reasonable adjustments to allow you to attend an interview, please highlight this when you are invited.Closing date for applications: 14 June 2020Social Finance is actively looking to broaden the diversity within our organisation, to mirror the diverse populations that we work with and for. We encourage candidates with a range of work and life experiences to apply.__**Job posted 07/05/2020Job Types: Full-time, PermanentWork remotely:Temporarily due to COVID-19"
7,London SE1 2QH,Raynet Recruitment Ltd,Finance Officer,"Contribute to the implementation of the fairer contributions policy,the assessment and collection of client contribtions and the reduction of debt.","Finance Officer

Main Purpose of the Job

Contribute to the implementation of the fairer contributions policy,the assessment and collection of client contribtions and the reduction of debt.Building effective relationships management with key internal and external stakeholders.
Carry out financial processing in the form of financial assessments,charging cleint contributions,proactive debt management,and the management of clients finances via corporate appointeeship and deputyship.
Support the delivery of the council's statutory duties relating to the court of protection and public funerals.
To support an intergrated approach to financial assessment,income,and debt work streams across the department,to ensure the engagement of finance,commissioning,operational teams and other associated support functions.
To maintain positive working relationships with clients,providers and finance colleagues to collect and maintain accurate information to ensure that any client contributions,payments,debts or defaults are processed quickly and effectively.
To proactively research,identify and assimilate knowledge in relation to best practice across the adult social care sector,and team portfolio.

***PLEASE ONLY APPLY IF YOU MEET ALL THE CRITERIA FOR THIS JOB***
Special Requirements before Interview
3 year checkable referencesPhoto ID / Eligibility to workMust register with agency / Request a call to discuss the roleCall and or Skype us to discuss the role
Duration: Potentially for 3 months. (Subject to further extension)

Rate: £13.00 - £16.19 (LTD/PAYE)
Hours per week: 36.00
Job Location: Southwark Council
Job Ref: 5132118
Please email your CV to:
admin@raynetrecruitment.co.uk
Proud member of the Disability Confident employer scheme
About Disability Confident
A Disability Confident employer will generally offer an interview to any applicant that declares they have a disability and meets the minimum criteria for the job as defined by the employer. It is important to note that in certain recruitment situations such as high-volume, seasonal and high-peak times, the employer may wish to limit the overall numbers of interviews offered to both disabled people and non-disabled people. For more details please go to Disability Confident."
8,Bloomsbury,British Museum,Finance Officer: Payables,"We are looking for candidates who are part qualified and working towards, or have obtained, an accounting qualification (e.g. ACCA/ACA/CIMA) with a high level…","Details:
Location:
Bloomsbury
Category:
Financial
Salary:
26929-31846
Contract type:
Contract Contract
Hours:
Full time
Telephone:
+44 (0)20 7323 8000
Finance Officer: Payables (Mat Cover)
Finance Officer: Payables (Mat Cover)

Finance Department

Full-time

Fixed term for 6 month

£26,929 -£31,846

Application deadline: 19 May 2020 by noon

This is an exciting opportunity to join the Finance Department in a world renowned setting and the most popular tourist attraction in the UK. As the Finance Officer: Payables you would manage the payment and stock functions of the Museum group to ensure suppliers and staff are paid in a timely manner, financial data is accurate and the service provided to Museum departments is of a high standard.

Key areas of responsibility:

Lead, motive, and develop team members
Ensure payment runs, stock records and payroll and pension payments are efficient, accurate, and of high quality
Liaising with the management accounts team to ensure financial information is timely and accurate and issues are identified and resolved
Ensure compliance with processes and controls in areas of responsibility
Evaluate and recommend ways to improve procedures, processes and controls
Review and authorise journals, reconciliations and other analysis prepared by team members
Performing reconciliations as directed and to timetable
Develop the suite of KPI targets for the payables team and ensure the targets are met

Person Specification:

To undertake this role you will need relevant experience working in a Finance department. This should include a good knowledge of accounting principles, procedures and controls, and experience of stock accounting and payroll. You should have experience of maintaining consistency and accuracy in processing a high volume of transactions and the ability to identify, investigate and resolve discrepancies. Experience of managing a team is essential. We are looking for candidates who are part qualified and working towards, or have obtained, an accounting qualification (e.g. ACCA/ACA/CIMA) with a high level of IT literacy including excellent data input and spreadsheet skills."
9,London E14 5JP,JP Morgan Chase,CIB – Investment Banking – Acquisition & Leveraged Finance – Analyst - London,"Our professionals take the long view of each client’s needs and assess the best ways for them to execute their strategy.
Building and using financial models.","J.P. Morgan is a leader in financial services, working in collaboration across the globe to deliver the best solutions and advice to meet our clients' needs, anywhere in the world. We operate in 150 countries, and hold leadership positions across our businesses. We have an exceptional team of employees who work hard to do the right thing for our clients and the firm, every day. This is why we are one of the most respected financial institutions in the world - and why we can offer you an outstanding career.
As an Analyst in Investment Banking, you will work with top-tier professionals at the heart of a leading global investment bank. With hands-on learning opportunities, mentoring and feedback, and numerous development opportunities, you will gain a strong career foundation in financial services. Our Associates are the anchors of each team and are expected to make a personal impact right from the start.

About Investment Banking
JPMorgan helps the world’s most prominent companies solve problems and seize opportunities, whether by raising capital or by shaping their corporate strategy and structure. Investment Banking is the first point of contact for most clients, who include multinational corporations, governments, financial institutions, private equity firms and institutional investors. Our professionals take the long view of each client’s needs and assess the best ways for them to execute their strategy. Often, members of the deal team interact on a daily basis with the client’s CEO and CFO, providing advice on the entire spectrum of JPMorgan products. That means offering the right solution at the right time, always putting the client’s needs first.
Our Investment Banking groups are organized to provide either product, sector or country expertise to our clients. These teams collaborate to provide a variety of products to clients in each sector. The team members become experts in their product, sector or country.
As an Investment Banking Analyst within Acquisition and Leveraged Finance (ALF), you will work as part of a team on acquisition financings and leveraged buy-outs, refinancings as well as debt advisory, capital structure and liability management assignments, involving various financing products, such as loans and high yield bonds, serving corporate clients, financial sponsor clients and clients in the infrastructure industry.
As an Investment Banking Analyst your responsibilities may include, but are not limited to:
building and using financial models
performing credit analysis and preparation of credit memos
preparing offering and marketing materials for loans or high yield bonds (e.g. information memorandums and prospectus, rating/roadshow/lender presentations)
preparing and participating in deal pitches
executing end-to-end client transactions
The work is fast-paced, demanding and intellectually stimulating. We look for candidates with the following:
Bachelor’s degree
Excellent analytical and technical skills
Strong attention to detail
Excellent written and verbal communication skills
Ability to work well under pressure and tight deadlines
Experience within a front office Investment Banking environment is preferable, ideally within Acquisition and Leveraged Finance, M&A/industry teams
Strong teamwork skills
This role encompasses the performance of regulated activity. The successful candidate will therefore be subject to meeting regulatory requirements in the assessment of fitness, propriety, knowledge and competence (as assessed by the Firm) and (where appropriate) approval by the relevant regulatory authorities to carry out such activities.

Corporate & Investment Bank
The Corporate & Investment Bank is a global leader across investment banking, wholesale payments, markets and securities services. The world’s most important corporations, governments and institutions entrust us with their business in more than 100 countries. We provide strategic advice, raise capital, manage risk and extend liquidity in markets around the world.

Salary: competitive salary

Opening date: 6th of May 2020
Closing date: 15th of May 2020

JPMorgan Chase & Co. offers an exceptional benefits program and a highly competitive compensation package. JPMorgan Chase & Co. is an Equal Opportunity Employer and a member of the UK Government’s Disability Confident Scheme."
